parkcode,name,latitude,longitude,description,activities,weatherInfo
abli,Abraham Lincoln Birthplace,37.5858662,-85.67330523,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",Astronomy|Stargazing|Food|Picnicking|Junior Ranger Program|Wildlife Watching|Birdwatching|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"There are four distinct seasons in Central Kentucky. However, temperature and weather conditions can vary widely within those seasons. Spring and Fall are generally pleasant with frequent rain showers. Summer is usually hot and humid. Winter is moderately cold with mixed precipitation."
acad,Acadia,44.409286,-68.247501,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",Arts and Culture|Cultural Demonstrations|Astronomy|Stargazing|Biking|Boating|Camping|Group Camping|Climbing|Rock Climbing|Compass and GPS|Geocaching|Fishing|Freshwater Fishing|Fly Fishing|Saltwater Fishing|Food|Picnicking|Guided Tours|Bus/Shuttle Guided Tour|Boat Tour|Hands-On|Citizen Science|Hiking|Front-Country Hiking|Horse Trekking|Horseback Riding|Ice Skating|Paddling|Canoeing|Kayaking|Stand Up Paddleboarding|Junior Ranger Program|Skiing|Cross-Country Skiing|Snow Play|Snowmobiling|Snowshoeing|Swimming|Freshwater Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store,"Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C)."
adam,Adams,42.2553961,-71.01160356,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",Guided Tours|Living History|First Person Interpretation|Park Film|Shopping|Bookstore and Park Store,"Be prepared for hot, humid weather. The historic homes are not air conditioned. While the visitor center remains open all year, the historic homes are closed from November 1 through April 30."
afam,African American Civil War Memorial,38.9166,-77.026,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com)
afbg,African Burial Ground,40.71452681,-74.00447358,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,Arts and Culture|Guided Tours|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ
agfo,Agate Fossil Beds,42.42170419,-103.753886,"During the 1890s, scientists rediscovered what the Lakota Sioux already knew—bones preserved in one of the world's most significant Miocene Epoch mammal sites. Yet, this place called ""Agate"" is a landscape that reflects many influences—from early animals roaming the valleys and hills, to tribal nations calling the High Plains home, to explorers passing through or settling in the American West.",Arts and Culture|Cultural Demonstrations|Astronomy|Stargazing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hiking|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Summers can be very warm, high 90's to 100 with the possibility of thunderstorms late afternoons. Winter temperatures can dip as low as -20 with some snow and wind. Heaviest snows can be expected in late Spring."
alka,Ala Kahakai,19.1446681090248,-155.890734293795,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!",Arts and Culture|Cultural Demonstrations|Auto and ATV|Scenic Driving|Biking|Mountain Biking|Road Biking|Boating|Motorized Boating|Sailing|Boat Tour|Camping|Canoe or Kayak Camping|Car or Front Country Camping|Group Camping|RV Camping|Compass and GPS|Geocaching|Orienteering|Fishing|Saltwater Fishing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Hands-On|Arts and Crafts|Hiking|Front-Country Hiking|Paddling|Canoeing|Canoe or Kayak Camping|Kayaking|Stand Up Paddleboarding|Junior Ranger Program|SCUBA Diving|Snorkeling|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching,Island weather is unpredictable. Visitors should be prepared for rain and wear layers of clothing to ensure their comfort while exploring the park.
alag,Alagnak,59.05180188,-156.112002,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",Boating|Camping|Backcountry Camping|Fishing|Hunting and Gathering|Hunting|Paddling|Canoe or Kayak Camping|Kayaking|Whitewater Rafting|Wildlife Watching|Birdwatching,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Alagnak Wild River is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather.  On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder."
anch,Alaska Public Lands,61.2188,-149.894536,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",,"Visitors center is located inside the Federal Building and weather conditions are seasonal conditions of the Anchorage area, outside the facility."
alca,Alcatraz Island,37.82676234,-122.4230206,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",Food|Wildlife Watching|Birdwatching|Shopping|Bookstore and Park Store,"The climate on Alcatraz is unpredictable and can change suddenly. Cold, foggy mornings may give way to sunny afternoons, which in turn can shift quickly back to more fog and blustery winds. The most pleasant weather usually occurs in spring and fall. Summers tend to be cool and foggy, winter is our rainy season. Temperatures on Alcatraz seldom rise above 75°F (24°C) or fall below 38°"
