parkcode,name,lat,long,description
/wiki/Blue_Springs_State_Park,Blue Springs State Park,31.66,-85.51,"b'Blue Springs State Park is a publicly owned recreation area located 7\xc2\xa0mi (11\xc2\xa0km) east of Clio in Blue Springs, Barbour County, Alabama.[2] The 103-acre (42\xc2\xa0ha) state park features a clear blue, natural underground spring that pumps 3,600\xc2\xa0US\xc2\xa0gal (14,000\xc2\xa0l) of water per hour into two concrete-ringed swimming pools.[3]'"
/wiki/Buck%27s_Pocket_State_Park,Buck's Pocket State Park,34.47,-86.05,"b""Buck's Pocket State Park is publicly owned recreation area located on Sand Mountain in the northeast corner of the U.S. state of Alabama, 2 miles (3.2\xc2\xa0km) north of the community of Grove Oak. The state park occupies 2,000 acres (810\xc2\xa0ha) surrounding a natural pocket (canyon) of the Appalachian Mountain chain along South Sauty Creek, an upstream tributary on the east side of Guntersville Lake.[2] The park is known for the sweeping views of its rugged, seemingly untouched landscape provided from the heights of Point Rock.[3][4]"""
/wiki/Cathedral_Caverns_State_Park,Cathedral Caverns State Park,34.57,-86.22,"b""Cathedral Caverns State Park is a publicly owned recreation area and natural history preserve located in Kennamer Cove, Alabama, approximately 5 miles (8.0\xc2\xa0km) northeast of Grant and 7 miles (11\xc2\xa0km) southeast of Woodville in Marshall County. The park's main feature, first known as Bats Cave, was developed as a tourist attraction in the 1950s. Cathedral Caverns was declared a National Natural Landmark in 1972[3] and opened as a state park in 2000.[4]"""
/wiki/Cheaha_State_Park,Cheaha State Park,33.47,-85.81,"b""Cheaha State Park is a publicly owned recreation area located in northern Clay and southwestern Cleburne counties in Alabama, USA. The park's 2,799 acres (1,133\xc2\xa0ha) include Cheaha Mountain, the highest point in the state. The park adjoins Talladega National Forest and is managed by the Alabama Department of Conservation and Natural Resources. It is Alabama's oldest continuously operating state park.[2] Facilities include lodgings, a restaurant, campsites, and hiking trails.[3]"""
/wiki/Chewacla_State_Park,Chewacla State Park,32.55,-85.48,"b""Chewacla State Park is a publicly owned recreation area in Auburn, Lee County, Alabama, occupying 696 acres (282\xc2\xa0ha) to the south of Interstate 85.[2] The state park's central feature, 26-acre (11\xc2\xa0ha) Lake Chewacla, provides opportunities for fishing, swimming, and non-motorized boating.[3]"""
/wiki/DeSoto_State_Park,DeSoto State Park,34.55,-85.59,"b""DeSoto State Park is a public recreation area located on Lookout Mountain 8 miles (13\xc2\xa0km) northeast of Fort Payne, Alabama.[2] The state park covers 3,502 acres (1,417\xc2\xa0ha) of forest, rivers, waterfalls, and mountain terrain. It borders the Little River, which flows into the nearby Little River Canyon National Preserve. The 104-foot-tall (32\xc2\xa0m) DeSoto Falls, the state's highest waterfall, is found in a separate part of the park 6 miles (9.7\xc2\xa0km) north of the main park.[3]"""
/wiki/Frank_Jackson_State_Park,Frank Jackson State Park,31.31,-86.27,"b'Frank Jackson State Park is a publicly owned recreation area that wraps around Lake Frank Jackson and forms the northwesternmost portion of the city of Opp, Alabama. The 2,050-acre (830\xc2\xa0ha) state park offers facilities for fishing, boating, hiking, and camping.[2]'"
/wiki/Gulf_State_Park,Gulf State Park,30.27,-87.64,"b""Gulf State Park is a public recreation area on the Gulf of Mexico in the city of Gulf Shores in southern Baldwin County, Alabama. The state park's 6,500 acres (2,600\xc2\xa0ha) mostly encompass the land behind the Gulf Shores beach community, between Highway 59 and SH 161, with the west end extending further south to a wide beach area (see photo right).[2] In addition to beaches, the park includes marshland, boggy tea-colored streams, pine forests, and three spring-fed, fresh-water lakes: Lake Shelby (750 acres or 300 hectares), Middle Lake, and Little Lake.[3] The park is managed by the Alabama Department of Conservation and Natural Resources, with park enforcement rangers providing around-the-clock security and enforcing anti-littering regulations.[4]"""
/wiki/Joe_Wheeler_State_Park,Joe Wheeler State Park,34.79,-87.38,"b""Joe Wheeler State Park is a state-owned, public recreation area with resort features located on Wheeler Lake, an impoundment of the Tennessee River in northwest Alabama.[2] The state park contains 2,550 acres (1,030\xc2\xa0ha) of land in three separate parcels and adjoins the Tennessee Valley Authority's Wheeler Dam.[3]"""
/wiki/Lake_Guntersville_State_Park,Lake Guntersville State Park,34.40,-86.20,"b'Lake Guntersville State Park is a publicly owned recreation area located on the far north side of the city of Guntersville in Marshall County, Alabama. The state park occupies 5,909 acres (2,391\xc2\xa0ha) on the eastern shore of Guntersville Lake, a 69,000-acre (28,000\xc2\xa0ha) impoundment of the Tennessee River. The park features resort facilities and is managed by the Alabama Department of Conservation and Natural Resources.[3]'"
/wiki/Lake_Lurleen_State_Park,Lake Lurleen State Park,33.30,-87.68,"b""Lake Lurleen State Park is a publicly owned recreation area located on U.S. Highway 82 approximately 9 miles (14\xc2\xa0km) northwest of Northport in Tuscaloosa County, Alabama. The state park's 1,625 acres (658\xc2\xa0ha) include 250-acre (100\xc2\xa0ha) Lake Lurleen and a 23-mile (37\xc2\xa0km) trail system. It is operated by the Alabama Department of Conservation and Natural Resources.[2]"""
/wiki/Lakepoint_State_Park,Lakepoint State Park,31.99,-85.11,"b'Lakepoint State Park is a publicly owned recreation area located on the far north side of the city of Eufaula. The state park encompasses 1,220 acres (490\xc2\xa0ha) on the western shore of Lake Eufala (Walter F. George Lake), a 45,000-acre (18,000\xc2\xa0ha) impoundment of the Chattahoochee River. The park adjoins Eufaula National Wildlife Refuge and is managed by the Alabama Department of Conservation and Natural Resources.[3]'"
/wiki/Meaher_State_Park,Meaher State Park,30.67,-87.94,"b'Meaher State Park is a publicly owned recreation area located on Big Island,[1] an island at the north end of Mobile Bay that lies within the city limits of Spanish Fort, Alabama. The state park occupies 1,327 acres (537\xc2\xa0ha) along the shoreline of Ducker Bay,[2]  at the junction of Mobile Bay and the Mobile-Tensaw River Delta.[3] It is surrounded by wetlands of the Mobile Bay estuary. The park is accessed from Battleship Parkway, known locally as the ""Causeway,"" and is managed by Alabama Department of Conservation and Natural Resources.[4]'"
/wiki/Monte_Sano_State_Park,Monte Sano State Park,34.73,-86.50,"b'Monte Sano State Park is a publicly owned recreation area and mountaintop retreat encompassing 2,140 acres (870\xc2\xa0ha) on the eastern portion of the top and slopes of Monte Sano Mountain on the east side of Huntsville, Alabama. The state park has 1930s-era, Civilian Conservation Corps\xe2\x80\x93built rustic cottages, hiking trails and picnic areas with scenic overlooks, and modern campsites. It is managed by the Alabama Department of Conservation and Natural Resources.[2]'"
/wiki/Oak_Mountain_State_Park,Oak Mountain State Park,33.34,-86.72,"b""Oak Mountain State Park is a publicly owned recreation area located approximately 20 miles (32\xc2\xa0km) south of Birmingham in the northeast quadrant of the city of Pelham, Alabama, United States. It is the state's largest state park at 9,940 acres (4,020\xc2\xa0ha) and is home to the Alabama Wildlife Center, Oak Mountain Interpretive Center, and Oak Mountain BMX Track. Park activities include hiking, swimming, camping, fishing, horseback riding, and golf. The park is managed by the Alabama Department of Conservation and Natural Resources.[2]"""
/wiki/Rickwood_Caverns_State_Park,Rickwood Caverns State Park,33.88,-86.86,"b'Rickwood Caverns State Park is a publicly owned recreation area and natural history preserve located 7 miles (11\xc2\xa0km) north of Warrior, Alabama.[2] The 380-acre (150\xc2\xa0ha) state park offers tours of caverns with illuminated limestone formations estimated to be 260 million years old, blind cave fish, and an underground pool.[3]'"
/wiki/Wind_Creek_State_Park,Wind Creek State Park,32.86,-85.93,"b'Wind Creek State Park is a publicly owned recreation area located 7 miles (11\xc2\xa0km) south of Alexander City, Alabama, on the western side of Lake Martin, a 41,000-acre (17,000\xc2\xa0ha) reservoir on the Tallapoosa River. The state park occupies 1,445 acres (585\xc2\xa0ha) and is managed by the Alabama Department of Conservation and Natural Resources.[2]'"
/wiki/Bladon_Springs_State_Park,Bladon Springs State Park,31.74,-88.20,"b'Bladon Springs State Park is a locally managed public recreation area on the site of four mineral springs that were once part of the historic spa at Bladon Springs, Choctaw County, Alabama. Analysis by a state geologist in 1845 found the springs to contain sulfur, iron, magnesium, and calcium.[2] The park came under local control after the state closed it in October 2015.[3][4] The state park\xe2\x80\x94which had offered a small campground and picnicking facilities\xe2\x80\x94was one of several that were closed or saw curtailment of services in 2015 following state budget cuts.[5][6]'"
/wiki/Historic_Blakeley_State_Park,Historic Blakeley State Park,30.74,-87.92,"b'Historic Blakeley State Park is a park located on the site of the former town of Blakeley in Baldwin County, Alabama on the Tensaw River delta. The park encompasses an area once occupied by settlers in what was a thriving community on the river. Later, Confederate soldiers were garrisoned here and fought in the last major battle of the U.S. Civil War against superior Union forces.[1]'"
/wiki/Brierfield_Furnace,Brierfield Furnace,33.04,-86.95,"b'The Brierfield Furnace, also known as the Bibb Naval Furnace and Brierfield Ironworks, is a historic district in Brierfield, Alabama.  The district covers 486 acres (197\xc2\xa0ha) and includes one building and nine sites.  It was listed on the National Register of Historic Places on November 20, 1974.[1]  The district is encompassed by Brierfield Ironworks Historical State Park.[2]'"
/wiki/Chattahoochee_State_Park,Chattahoochee State Park,31.01,-85.03,"b""Chattahoochee State Park was a state-owned, public recreation area located in the extreme southeast corner of Alabama operated by the government of Houston County, Alabama. The park occupies 596 acres (241\xc2\xa0ha) along Irwin's Mill Creek on the Florida-Alabama border.[2] It closed following the destruction of much of the park by Hurricane Michael."""
/wiki/Chickasaw_State_Park_(Alabama),Chickasaw State Park (Alabama),32.36,-87.79,"b'Chickasaw State Park is a locally managed public recreation area located on U.S. Route 43 approximately 4 miles (6.4\xc2\xa0km) north of Linden in Marengo County, Alabama.[2] The 520-acre (210\xc2\xa0ha) state park was developed in the 1930s by members of the Civilian Conservation Corps on property that the state had owned since 1819.[3] It was one of several Alabama state parks that either closed or saw curtailment of services in 2015 following state budget cuts.[4][5]'"
/wiki/Florala_City_Park,Florala City Park,31.00,-86.32,"b'Florala City Park, formerly Florala State Park, is a 40-acre (16\xc2\xa0ha) public recreation area in Florala, Alabama. The park wraps around the Alabama side of Lake Jackson, a 500-acre (200\xc2\xa0ha) lake that straddles the Alabama-Florida state line.[2]'"
/wiki/Paul_M._Grist_State_Park,Paul M. Grist State Park,32.60,-86.99,"b'Paul M. Grist State Park is a public recreation area located 17 miles (27\xc2\xa0km) north of Selma operated by the government of Dallas County, Alabama. The park offers water activities on a 100-acre (40\xc2\xa0ha) lake as well as facilities for camping and picnicking.[2]'"
/wiki/Roland_Cooper_State_Park,Roland Cooper State Park,32.06,-87.25,"b'Roland Cooper State Park is a state-owned, contractor-operated public recreation area located six miles north of Camden, Alabama, on the eastern shore of Dannelly Reservoir, a 22,000-acre (8,900\xc2\xa0ha) impoundment of the Alabama River known locally as the Millers Ferry Reservoir.[2][3] The park features cottages, campground, fishing, and boating facilities.[4]'"
/wiki/Tannehill_Ironworks,Tannehill Ironworks,33.25,-87.07,"b'The Tannehill Ironworks is the central feature of Tannehill Ironworks Historical State Park near the unincorporated town of McCalla in Tuscaloosa County, Alabama.[1] Listed on the National Register of Historic Places as Tannehill Furnace, it was a major supplier of iron for Confederate ordnance.[2] Remains of the old furnaces are located 12 miles (19\xc2\xa0km) south of Bessemer off Interstate 59/Interstate 20 near the southern end of the Appalachian Mountains. The 2,063-acre (835\xc2\xa0ha) park includes: the John Wesley Hall Grist Mill; the May Plantation Cotton Gin House; and the Iron & Steel Museum of Alabama.[1]'"
/wiki/Alamo_Lake_State_Park,Alamo Lake State Park,34.23,-113.60,"b'Alamo Lake State Park is a state park of Arizona, USA, centered on Alamo Lake, a flood control and recreational reservoir.  The park is located in western Arizona about 38 miles (61\xc2\xa0km) north of Wenden. It is accessed via a paved two-lane road off either U.S. Route 60 to the south or U.S. Route 93 to the east. Owing to its remoteness, the park is often considered one of the ""best kept secrets"" of the state park system.[2][citation needed]'"
/wiki/Buckskin_Mountain_State_Park,Buckskin Mountain State Park,34.26,-114.14,"b'Buckskin Mountain State Park is a state park located near Parker, Arizona, USA.  A second developed area of the park is known as the River Island Unit or River Island State Park.  Both park areas have shoreline on the Colorado River and views of the Buckskin Mountains.  The park provides camping and water recreation opportunities.'"
/wiki/Catalina_State_Park,Catalina State Park,32.42,-110.94,"b'Catalina State Park is a state park of Arizona, United States, that is adjacent to Coronado National Forest on the western slopes of the Santa Catalina Mountains north of Tucson. Catalina State Park has an average elevation of 3,000 feet (910\xc2\xa0m) but varies dramatically with high ridges and low creek beds. The park includes 5,493 acres (2,223\xc2\xa0ha) and is administered by Arizona State Parks in conjunction with the U.S. Forest Service. Catalina State Park is accessed from the town of Oro Valley on Arizona State Route 77, 9 miles (14\xc2\xa0km) north of Tucson.'"
/wiki/Cattail_Cove_State_Park,Cattail Cove State Park,34.35,-114.17,"b'Cattail Cove State Park is a state park of Arizona, USA, on the shore of Lake Havasu.  The park is located on Arizona State Route 95 in far southern Mohave County, about 19 miles (31\xc2\xa0km) from Lake Havasu City and 8 miles (13\xc2\xa0km) from Parker Strip. The park is public land managed by the Arizona State Parks, and available to the public for recreational purposes.'"
/wiki/Dead_Horse_Ranch_State_Park,Dead Horse Ranch State Park,34.75,-112.01,"b'Dead Horse Ranch State Park is a state park of Arizona, United States, on the Verde River in an area known as the Verde River Greenway.[2] Located at approximately 3,300 feet (1,000\xc2\xa0m) elevation, Dead Horse Ranch State Park covers 423 acres (1.71\xc2\xa0km2) of land with 10 miles (16\xc2\xa0km) of hiking trails, 150 campground sites and several picnic areas, along with 23 group camping sites. It also offers trailhead access to the Dead Horse Trail System, located on adjacent Coconino National Forest land.  The ranch was originally named by the Ireys family, who sold the land to the state of Arizona to become a state park.[3]'"
/wiki/Fort_Verde_State_Historic_Park,Fort Verde State Historic Park,34.57,-111.85,"b'Fort Verde State Historic Park in the town of Camp Verde, Arizona is a small park that attempts to preserve parts of the Apache Wars-era fort as it appeared in the 1880s. The park was established in 1970 and was added to the National Register of Historic Places a year later.'"
/wiki/Granite_Mountain_Hotshots_Memorial_State_Park,Granite Mountain Hotshots Memorial State Park,34.22,-112.78,b''
/wiki/Homolovi_State_Park,Homolovi State Park,35.03,-110.63,"b'Homolovi State Park is a state park of Arizona, USA, preserving over 300 Ancestral Puebloan archaeological sites. Homolovi or Homol\'ovi (the Hopi spelling of the word) is a Hopi word meaning ""place of the little hills"". The park is located just over a mile north of Winslow, Arizona, and features historical exhibits, interpretive programs, birdwatching, and hiking. There is a year-round campground, restrooms with showers  and an RV dump station.[1][2] The park was closed to visitors from February 22, 2010 to March 18, 2011 due to state budget cuts.[3]'"
/wiki/Jerome_State_Historic_Park,Jerome State Historic Park,34.75,-112.11,"b'Jerome State Historic Park is a state park of Arizona, US, featuring the Douglas Mansion, built in 1916 by a family of influential mining entrepreneurs in Jerome, Arizona, a mining region in the northeast of the Black Hills, east Yavapai County. A museum is located in the old Douglas Mansion.'"
/wiki/Kartchner_Caverns_State_Park,Kartchner Caverns State Park,31.84,-110.35,"b'Kartchner Caverns State Park is a state park of Arizona, United States, featuring a show cave with 2.4 miles (3.9\xc2\xa0km) of passages.[1]  The park is located 9 miles (14\xc2\xa0km) south of the town of Benson and west of the north-flowing San Pedro River. Long hidden from view, the caverns were discovered in 1974 by local cavers, assisted by state biologist Erick Campbell who helped in its preservation.'"
/wiki/Lake_Havasu_State_Park,Lake Havasu State Park,34.41,-114.25,"b'Lake Havasu State Park is a state park located on Lake Havasu in Mohave County, Arizona, USA.  The park provides outdoor recreation opportunities such as camping, boating, and fishing.  The Arroyo-Camino Interpretive Garden displays local desert flora.'"
/wiki/Lost_Dutchman_State_Park,Lost Dutchman State Park,33.46,-111.48,"b""Lost Dutchman State Park is a 320-acre (129\xc2\xa0ha) state park located near the Superstition Mountains in central Arizona, USA, and named after the Lost Dutchman's Gold Mine, a famous gold mine legendary among the tales of the Old West. It is accessible about 40 miles (64\xc2\xa0km) east of Phoenix via U.S. Highway 60, the Superstition Freeway."""
